id	decision	reason
rxn17379	glucosyl (UDPglc/UDP)	UDP-glycogen synthase; UDP-GLUCOSE explicit
rxn17557	mannosyl (GDPman/GDP)	beta-D-mannosylphosphodecaprenol mannosyltransferase; explicit
rxn17917	mannosyl (GDPman/GDP)	exo-mannosidase; product MANNOSE
rxn17932	SKIP	1-FEH fructan exohydrolase; product D-Fructose
rxn17942	mannosyl (GDPman/GDP)	alpha-mannosyl mannohydrolase; product MANNOSE
rxn17989	glucosyl (UDPglc/UDP)	exo-beta-1,4-glucosidase; product beta-D-Glucose
rxn17996	SKIP	exo-beta-fructosidase; product beta-D-Fructose
rxn18001	glucosyl (UDPglc/UDP)	exo-1,3-alpha-glucanase; product alpha-D-Glucose
rxn22517	glucosyl (UDPglc/UDP)	Name explicitly "4-alpha-glucosyltransferase"
rxn23846	glucosyl (UDPglc/UDP)	Product name contains "O-beta-glucosyl"
rxn23847	SKIP	Product named generically "HEXOSE"; sugar not specified
rxn25960	SKIP	beta-h-fructosidase; product beta-D-Fructose
rxn32348	SKIP	Sulfotransferase on a glucosinolate (not a glycosyl-transfer event); no clear sugar signal
rxn35562	mannosyl (GDPman/GDP)	Mannan mannohydrolase; product alpha-D-Mannose
rxn35563	mannosyl (GDPman/GDP)	Mannan mannohydrolase; product beta-D-Mannose
rxn40911	mannosyl (GDPman/GDP)	Product "D-Mannose1-phosphate"
rxn41230	SKIP	Aldose 1-epimerase on beta-D-Galactose; sugar is galactose
rxn41800	SKIP	L-Fuconate; sugar is deoxyhexose fucose, not glucose/mannose
rxn41916	SKIP	EC 2.4.1.9 fructosyltransferase; sugar transferred is fructose
rxn42474	SKIP	UDP-D-galactopyranose; sugar is galactose
rxn42841	glucosyl (UDPglc/UDP)	D-Glucose => Maltose; glucose-glucose disaccharide formation
rxn44967	SKIP	L-Rhamnonate; sugar is deoxyhexose rhamnose, not glucose/mannose
rxn45109	glucosyl (UDPglc/UDP)	Product "beta-D-Glucose 1-phosphate"
