id	orig_status	couple	confidence	stereo_tier	stereo_detail	agent_reason	patch	corrected_stoichiometry
rxn07031	MI:C:-6/H:-11/O:-5|CI:-1	mannosyl (GDPman/GDP)	agent	unverifiable	no clean substrate/product pair differing by one hexose	Definition names beta-D-Mannosylphosphodecaprenol	mannosyl (GDPman/GDP) couple + water/proton	"-1:cpd02560:0:""beta-D-Mannosylphosphodecaprenol"";1:cpd01904:0:""Decaprenol phosphate"";1:cpd00083:0:""GDP-mannose"";-1:cpd00031:0:""GDP"";1:cpd00067:0:""H+"""
rxn07375	MI:C:6/H:10/O:5	glucosyl (UDPglc/UDP)	agent	structure-stereo-defined	cpd14643 scaffold+hexose ok; stereo fully defined	"Product ""Hydroxychlorobactene glucoside"""	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd14640:0:""Hydroxychlorobactene"";1:cpd14643:0:""Hydroxychlorobactene glucoside"";-1:cpd00026:0:""UDP-glucose"";1:cpd00014:0:""UDP"""
rxn07377	MI:C:6/H:10/O:5	glucosyl (UDPglc/UDP)	agent	structure-stereo-defined	cpd14592 scaffold+hexose ok; stereo fully defined	"Product name contains ""glucoside"""	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd14590:0:""1'-Hydroxy-gamma-carotene"";1:cpd14592:0:""1'-Hydroxy-gamma-carotene glucoside"";-1:cpd00026:0:""UDP-glucose"";1:cpd00014:0:""UDP"""
rxn07470	MI:C:6/H:11/O:5|CI:1	glucosyl (UDPglc/UDP)	agent	unverifiable	no clean substrate/product pair differing by one hexose	"Name explicitly ""glucosyltransferase"""	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd14867:0:""4,4'-Diaponeurosporenic acid"";1:cpd14868:0:""Glycosyl-4,4'-diaponeurosporenoate"";-1:cpd00026:0:""UDP-glucose"";1:cpd00014:0:""UDP"";-1:cpd00067:0:""H+"""
rxn07547	MI:C:-6/H:-11/O:-5|CI:-1	glucosyl (UDPglc/UDP)	agent	unverifiable	no clean substrate/product pair differing by one hexose	Ononin is the known formononetin 7-O-glucoside	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd07395:0:""Ononin"";1:cpd00639:0:""Formononetin"";1:cpd00026:0:""UDP-glucose"";-1:cpd00014:0:""UDP"";1:cpd00067:0:""H+"""
rxn07570	MI:C:-6/H:-10/O:-5	glucosyl (UDPglc/UDP)	agent	structure-stereo-defined	cpd07424 scaffold+hexose ok; stereo fully defined	Trifolirhizin is the known maackiain 3-O-beta-D-glucoside	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd07424:0:""Trifolirhizin"";1:cpd07388:0:""(-)-Maackiain"";1:cpd00026:0:""UDP-glucose"";-1:cpd00014:0:""UDP"""
rxn07634	MI:C:6/H:10/O:5	glucosyl (UDPglc/UDP)	agent	structure-stereo-defined	cpd14987 scaffold+hexose ok; stereo fully defined	"Product ""Rhodopinal glucoside"""	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd14986:0:""Rhodopinal"";1:cpd14987:0:""Rhodopinal glucoside"";-1:cpd00026:0:""UDP-glucose"";1:cpd00014:0:""UDP"""
rxn07698	MI:C:6/H:11/O:5	glucosyl (UDPglc/UDP)	agent	unverifiable	no clean substrate/product pair differing by one hexose	"Product ""Cyanidin 5-O-glucoside"""	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd03502:0:""IdB 1027"";1:cpd15014:0:""Cyanidin 5-O-glucoside"";-1:cpd00026:0:""UDP-glucose"";1:cpd00014:0:""UDP"";-1:cpd00067:0:""H+"""
rxn07699	MI:C:6/H:10/O:5	glucosyl (UDPglc/UDP)	agent	structure-stereo-defined	cpd05546 scaffold+hexose ok; stereo fully defined	"Substrate ""Cyanidin 5-O-glucoside"""	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd15014:0:""Cyanidin 5-O-glucoside"";1:cpd05546:0:""Cyanin"";-1:cpd00026:0:""UDP-glucose"";1:cpd00014:0:""UDP"""
rxn07796	MI:C:6/H:10/O:5	glucosyl (UDPglc/UDP)	agent	structure-stereo-defined	cpd15113 scaffold+hexose ok; stereo fully defined	"Product ""THC 4'-glucoside"""	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd03969:0:""Isosalipurpol"";1:cpd15113:0:""THC 4'-glucoside"";-1:cpd00026:0:""UDP-glucose"";1:cpd00014:0:""UDP"""
rxn07797	MI:C:6/H:10/O:5	glucosyl (UDPglc/UDP)	agent	structure-stereo-defined	cpd15114 scaffold+hexose ok; stereo fully defined	"Product ""PHC 4'-O-glucoside"""	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd11204:0:""Eriodictyol chalcone"";1:cpd15114:0:""PHC 4'-O-glucoside"";-1:cpd00026:0:""UDP-glucose"";1:cpd00014:0:""UDP"""
rxn08605	MI:C:6/H:10/O:5	glucosyl (UDPglc/UDP)	agent	unverifiable	cpd15413=+hexose over cpd00155 but structure missing	1,4-alpha-glucan branching enzyme; glycogen/glucan substrate	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd00155:0:""Glycogen"";1:cpd15413:0:""branching glycogen"";-1:cpd00026:0:""UDP-glucose"";1:cpd00014:0:""UDP"""
rxn08615	MI:C:-6/H:-10/O:-5	glucosyl (UDPglc/UDP)	agent	unverifiable	no clean substrate/product pair differing by one hexose	Glycogen synthase (ADPGlc); ADPglucose explicit	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd00387:0:""ADPglucose"";-1:cpd15302:0:""glycogen(n-1)"";1:cpd00008:0:""ADP"";1:cpd00155:0:""Glycogen"";1:cpd00026:0:""UDP-glucose"";-1:cpd00014:0:""UDP"""
rxn09398	MI:C:-6/H:-10/O:-5	glucosyl (UDPglc/UDP)	agent	unverifiable	no clean substrate/product pair differing by one hexose	Glycogen synthase (UDPGlc); UDP-glucose explicit	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd15302:0:""glycogen(n-1)"";1:cpd00155:0:""Glycogen"""
rxn10533	MI:C:6/H:10/O:5	glucosyl (UDPglc/UDP)	agent	unverifiable	no clean substrate/product pair differing by one hexose	Glucan 1,4-alpha-glucosidase; product D-Glucose	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd00001:0:""H2O"";-1:cpd00155:0:""Glycogen"";1:cpd00027:0:""D-Glucose"";1:cpd15302:0:""glycogen(n-1)"";-1:cpd00026:0:""UDP-glucose"";1:cpd00014:0:""UDP"""
rxn11515	MI:C:6/H:10/O:5	glucosyl (UDPglc/UDP)	agent	structure-stereo-undefined	cpd16280 scaffold+hexose ok; 1 undefined stereocentre(s) -> sugar id rests on name	"Product ""8-C-Glucosylnaringenin"""	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd00398:0:""Naringenin"";1:cpd16280:0:""8-C-Glucosylnaringenin"";-1:cpd00026:0:""UDP-glucose"";1:cpd00014:0:""UDP"""
rxn17379	MI:C:-6/H:-10/O:-5	glucosyl (UDPglc/UDP)	agent	unverifiable	no clean substrate/product pair differing by one hexose	UDP-glycogen synthase; UDP-GLUCOSE explicit	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd28293:0:""UDP-GLUCOSE"";1:cpd00026:0:""UDP-glucose"""
rxn17557	MI:C:-6/H:-11/O:-5|CI:-1	mannosyl (GDPman/GDP)	agent	unverifiable	no clean substrate/product pair differing by one hexose	beta-D-mannosylphosphodecaprenol mannosyltransferase; explicit	mannosyl (GDPman/GDP) couple + water/proton	"-1:cpd02560:0:""beta-D-Mannosylphosphodecaprenol"";1:cpd26842:0:""all-trans decaprenyl phosphate"";1:cpd00083:0:""GDP-mannose"";-1:cpd00031:0:""GDP"";1:cpd00067:0:""H+"""
rxn22517	MI:C:-6/H:-10/O:-5	glucosyl (UDPglc/UDP)	agent	structure-stereo-undefined	cpd00179 scaffold+hexose ok; 1 undefined stereocentre(s) -> sugar id rests on name	"Name explicitly ""4-alpha-glucosyltransferase"""	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd00179:0:""Maltose"";1:cpd19001:0:""alpha-D-Glucose"";1:cpd00026:0:""UDP-glucose"";-1:cpd00014:0:""UDP"""
rxn23846	MI:C:6/H:10/O:5	glucosyl (UDPglc/UDP)	agent	structure-stereo-undefined	cpd22037 scaffold+hexose ok; 1 undefined stereocentre(s) -> sugar id rests on name	"Product name contains ""O-beta-glucosyl"""	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd22014:0:""3-hydroxy-2-indolone-3-acetyl-aspartic acid"";1:cpd22037:0:""3-(O-beta-glucosyl)-2-indolone-3-acetyl-aspartic acid"";-1:cpd00026:0:""UDP-glucose"";1:cpd00014:0:""UDP"""
rxn40911	MI:C:6/H:10/O:5	mannosyl (GDPman/GDP)	agent	unverifiable	no clean substrate/product pair differing by one hexose	"Product ""D-Mannose1-phosphate"""	mannosyl (GDPman/GDP) couple + water/proton	"-1:cpd00009:0:""Phosphate"";1:cpd00485:0:""D-Mannose1-phosphate"";-1:cpd00083:0:""GDP-mannose"";1:cpd00031:0:""GDP"""
rxn42841	MI:C:6/H:10/O:5	glucosyl (UDPglc/UDP)	agent	structure-stereo-undefined	cpd00179 scaffold+hexose ok; 1 undefined stereocentre(s) -> sugar id rests on name	D-Glucose => Maltose; glucose-glucose disaccharide formation	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd00027:0:""D-Glucose"";1:cpd00179:0:""Maltose"";-1:cpd00026:0:""UDP-glucose"";1:cpd00014:0:""UDP"""
rxn45109	MI:C:6/H:10/O:5	glucosyl (UDPglc/UDP)	agent	unverifiable	no clean substrate/product pair differing by one hexose	"Product ""beta-D-Glucose 1-phosphate"""	glucosyl (UDPglc/UDP) couple + water/proton	"-1:cpd00009:0:""Phosphate"";1:cpd00501:0:""beta-D-Glucose 1-phosphate"";-1:cpd00026:0:""UDP-glucose"";1:cpd00014:0:""UDP"""
rxn02626	MI:C:1/H:2	methyl (SAM/SAH)	agent	n/a		codeine = 3-O-methylmorphine	methyl (SAM/SAH) couple + water/proton	"-1:cpd01072:0:""Morphine"";1:cpd03684:0:""Codeine"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn02964	MI:C:1/H:2	methyl (SAM/SAH)	agent	n/a		N-demethylation, methylaminoethylphosphonate -> ciliatine	methyl (SAM/SAH) couple + water/proton	"-1:cpd02233:0:""Ciliatine"";1:cpd03382:0:""2-Methylaminoethylphosphonate"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn03370	MI:C:1/H:2	methyl (SAM/SAH)	agent	n/a		explicit methylamino -> dimethylamino	methyl (SAM/SAH) couple + water/proton	"-1:cpd03382:0:""2-Methylaminoethylphosphonate"";1:cpd03383:0:""2-Dimethylaminoethylphosphonate"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn03480	MI:C:1/H:2	methyl (SAM/SAH)	agent	n/a		N-methylpelletierine -> pelletierine, N-demethylation	methyl (SAM/SAH) couple + water/proton	"-1:cpd03692:0:""Pelletierine"";1:cpd03694:0:""N-Methylpelletierine"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn04117	MI:C:1/H:2	methyl (SAM/SAH)	agent	n/a		explicit demethylalangiside <- alangiside	methyl (SAM/SAH) couple + water/proton	"-1:cpd08617:0:""Demethylalangiside"";1:cpd06225:0:""Alangiside"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn04119	MI:C:1/H:2	methyl (SAM/SAH)	agent	n/a		explicit demethylisoalangiside <- isoalangiside	methyl (SAM/SAH) couple + water/proton	"-1:cpd08618:0:""Demethylisoalangiside"";1:cpd08619:0:""Isoalangiside"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn04403	MI:C:1/H:2	methyl (SAM/SAH)	agent	n/a		peonidin = methylcyanidin, anthocyanin O-methylation	methyl (SAM/SAH) couple + water/proton	"-1:cpd05511:0:""Cyanidin 3-O-glucoside"";1:cpd08923:0:""Peonidin-3-glucoside"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn04404	MI:C:1/H:2	methyl (SAM/SAH)	agent	n/a		petunidin = methyldelphinidin glycoside	methyl (SAM/SAH) couple + water/proton	"-1:cpd08920:0:""Mirtillin"";1:cpd08921:0:""Petunidin 3-glucoside"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn04486	MI:C:1/H:2	methyl (SAM/SAH)	agent	n/a		explicit 8-O-methyltetrangulol -> tetrangulol	methyl (SAM/SAH) couple + water/proton	"-1:cpd09150:0:""Tetrangulol"";1:cpd09151:0:""8-O-Methyltetrangulol"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn04489	MI:C:1/H:2	methyl (SAM/SAH)	agent	n/a		explicit O-methyl variant pair	methyl (SAM/SAH) couple + water/proton	"-1:cpd09152:0:""19-Hydroxytetrangulol"";1:cpd09153:0:""19-Hydroxy-8-O-methyltetrangulol"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn04533	MI:C:1/H:2	methyl (SAM/SAH)	agent	n/a		tetracenomycin B3->D3, known TcmO O-methylation step	methyl (SAM/SAH) couple + water/proton	"-1:cpd09121:0:""Tetracenomycin D3"";1:cpd09122:0:""Tetracenomycin B3"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn04538	MI:C:1/H:3|CI:1	methyl (SAM/SAH)	agent	n/a		explicit methylester of tetracenomycin F1	methyl (SAM/SAH) couple + water/proton	"-1:cpd09120:0:""Tetracenomycin F1"";1:cpd09126:0:""Tetracenomycin F1 methylester"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"""
rxn04541	MI:C:1/H:3|CI:1	methyl (SAM/SAH)	agent	n/a		explicit methylester of tetracenomycin D3	methyl (SAM/SAH) couple + water/proton	"-1:cpd09121:0:""Tetracenomycin D3"";1:cpd09128:0:""Tetracenomycin D3 methylester"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"""
rxn04569	MI:C:-1/H:-2	methyl (SAM/SAH)	agent	n/a		nicotine -> nornicotine, known N-demethylation	methyl (SAM/SAH) couple + water/proton	"-1:cpd00554:0:""Nicotine"";1:cpd03934:0:""Nornicotine"";1:cpd00017:0:""S-Adenosyl-L-methionine"";-1:cpd00019:0:""S-Adenosyl-homocysteine"";-1:cpd00067:0:""H+"""
rxn04799	MI:C:1/H:2	methyl (SAM/SAH)	agent	n/a		explicit methane loss = demethylation of rifamycin W	methyl (SAM/SAH) couple + water/proton	"-1:cpd09026:0:""Rifamycin W"";1:cpd01024:0:""Methane"";1:cpd10420:0:""Rifamycin W-hemiacetal"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn04801	MI:C:-1/H:-2|CI:-1	methyl (SAM/SAH)	agent	n/a		explicit demethyl-desacetyl-rifamycin S	methyl (SAM/SAH) couple + water/proton	"-2:cpd00067:0:""H+"";-1:cpd10420:0:""Rifamycin W-hemiacetal"";1:cpd10422:0:""Demethyl-desacetyl-rifamycin S"";1:cpd00017:0:""S-Adenosyl-L-methionine"";-1:cpd00019:0:""S-Adenosyl-homocysteine"""
rxn05134	MI:C:1/H:2	methyl (SAM/SAH)	agent	n/a		DIMBOA/TRIBOA benzoxazinoid demethylation	methyl (SAM/SAH) couple + water/proton	"-1:cpd11412:0:""TRIBOA"";1:cpd02876:0:""DIMBOA"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn07327	MI:C:-1/H:-2	methyl (SAM/SAH)	agent	n/a		explicit 4-methylzymosterol -> zymosterol	methyl (SAM/SAH) couple + water/proton	"-1:cpd03035:0:""4-methylzymosterol"";1:cpd03221:0:""Zymosterol"";1:cpd00017:0:""S-Adenosyl-L-methionine"";-1:cpd00019:0:""S-Adenosyl-homocysteine"";-1:cpd00067:0:""H+"""
rxn07339	MI:C:1/H:2	methyl (SAM/SAH)	agent	n/a		tocopherol O-methylation (beta- vs alpha-/Vitamin E)	methyl (SAM/SAH) couple + water/proton	"-1:cpd09851:0:""beta-Tocopherol"";1:cpd01628:0:""Vitamin E"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
rxn07508	MI:C:1/H:2	methyl (SAM/SAH)	agent	n/a		explicit methoxy- vs hydroxy-anthracenediol	methyl (SAM/SAH) couple + water/proton	"-1:cpd14923:0:""1,2-Anthracenediol"";1:cpd14927:0:""1-Methoxy-2-hydroxyanthracene"";-1:cpd00017:0:""S-Adenosyl-L-methionine"";1:cpd00019:0:""S-Adenosyl-homocysteine"";1:cpd00067:0:""H+"""
