header,accession,ec,ec_class,organism,group,seq_len
Q9SR52__EC_3.5.1.5__Arabidopsis_thaliana,Q9SR52,3.5.1.5,3,Arabidopsis_thaliana,control,838
E6Y5X0__EC_3.5.1.5__Canavalia_ensiformis,E6Y5X0,3.5.1.5,3,Canavalia_ensiformis,control,840
P9WFF1__EC_3.5.1.5__Mycobacterium_tuberculosis_(strain_ATCC_,P9WFF1,3.5.1.5,3,Mycobacterium_tuberculosis_(strain_ATCC_,control,577
P17086__EC_3.5.1.5__Proteus_mirabilis_(strain_HI4320),P17086,3.5.1.5,3,Proteus_mirabilis_(strain_HI4320),control,567
P41020__EC_3.5.1.5__Sporosarcina_pasteurii,P41020,3.5.1.5,3,Sporosarcina_pasteurii,control,570
P00813__EC_3.5.4.4__Homo_sapiens,P00813,3.5.4.4,3,Homo_sapiens,control,363
Q9NZK5__EC_3.5.4.4__Homo_sapiens,Q9NZK5,3.5.4.4,3,Homo_sapiens,control,511
Q8IV20__EC_3.5.4.4__Homo_sapiens,Q8IV20,3.5.4.4,3,Homo_sapiens,control,430
P56658__EC_3.5.4.4__Bos_taurus,P56658,3.5.4.4,3,Bos_taurus,control,363
Q920P6__EC_3.5.4.4__Rattus_norvegicus,Q920P6,3.5.4.4,3,Rattus_norvegicus,control,352
O82647__EC_4.1.1.1__Arabidopsis_thaliana,O82647,4.1.1.1,4,Arabidopsis_thaliana,control,607
P33287__EC_4.1.1.1__Neurospora_crassa_(strain_ATCC_24698_/_7,P33287,4.1.1.1,4,Neurospora_crassa_(strain_ATCC_24698_/_7,control,570
Q9FFT4__EC_4.1.1.1__Arabidopsis_thaliana,Q9FFT4,4.1.1.1,4,Arabidopsis_thaliana,control,607
Q6FJA3__EC_4.1.1.1__Candida_glabrata_(strain_ATCC_2001_/_BCR,Q6FJA3,4.1.1.1,4,Candida_glabrata_(strain_ATCC_2001_/_BCR,control,564
Q92345__EC_4.1.1.1__Schizosaccharomyces_pombe_(strain_972_/_,Q92345,4.1.1.1,4,Schizosaccharomyces_pombe_(strain_972_/_,control,569
Q9ULX7__EC_4.2.1.1__Homo_sapiens,Q9ULX7,4.2.1.1,4,Homo_sapiens,control,337
P35218__EC_4.2.1.1__Homo_sapiens,P35218,4.2.1.1,4,Homo_sapiens,control,305
P43166__EC_4.2.1.1__Homo_sapiens,P43166,4.2.1.1,4,Homo_sapiens,control,264
Q9Y2D0__EC_4.2.1.1__Homo_sapiens,Q9Y2D0,4.2.1.1,4,Homo_sapiens,control,317
P00915__EC_4.2.1.1__Homo_sapiens,P00915,4.2.1.1,4,Homo_sapiens,control,261
P06733__EC_4.2.1.11__Homo_sapiens,P06733,4.2.1.11,4,Homo_sapiens,control,434
P09104__EC_4.2.1.11__Homo_sapiens,P09104,4.2.1.11,4,Homo_sapiens,control,434
P13929__EC_4.2.1.11__Homo_sapiens,P13929,4.2.1.11,4,Homo_sapiens,control,434
P04764__EC_4.2.1.11__Rattus_norvegicus,P04764,4.2.1.11,4,Rattus_norvegicus,control,434
P17182__EC_4.2.1.11__Mus_musculus,P17182,4.2.1.11,4,Mus_musculus,control,434
O60266__EC_4.6.1.1__Homo_sapiens,O60266,4.6.1.1,4,Homo_sapiens,control,1144
O95622__EC_4.6.1.1__Homo_sapiens,O95622,4.6.1.1,4,Homo_sapiens,control,1261
P40145__EC_4.6.1.1__Homo_sapiens,P40145,4.6.1.1,4,Homo_sapiens,control,1251
Q8NFM4__EC_4.6.1.1__Homo_sapiens,Q8NFM4,4.6.1.1,4,Homo_sapiens,control,1077
O60503__EC_4.6.1.1__Homo_sapiens,O60503,4.6.1.1,4,Homo_sapiens,control,1353
Q96AT9__EC_5.1.3.1__Homo_sapiens,Q96AT9,5.1.3.1,5,Homo_sapiens,control,228
P0AG07__EC_5.1.3.1__Escherichia_coli_(strain_K12),P0AG07,5.1.3.1,5,Escherichia_coli_(strain_K12),control,225
Q8VEE0__EC_5.1.3.1__Mus_musculus,Q8VEE0,5.1.3.1,5,Mus_musculus,control,228
Q9SAU2__EC_5.1.3.1__Arabidopsis_thaliana,Q9SAU2,5.1.3.1,5,Arabidopsis_thaliana,control,281
Q43157__EC_5.1.3.1__Spinacia_oleracea,Q43157,5.1.3.1,5,Spinacia_oleracea,control,285
Q5YXQ1__EC_5.2.1.1__Nocardia_farcinica_(strain_IFM_10152),Q5YXQ1,5.2.1.1,5,Nocardia_farcinica_(strain_IFM_10152),control,251
O24766__EC_5.2.1.1__Alcaligenes_faecalis,O24766,5.2.1.1,5,Alcaligenes_faecalis,control,253
Q88FY4__EC_5.2.1.1__Pseudomonas_putida_(strain_ATCC_47054_/_,Q88FY4,5.2.1.1,5,Pseudomonas_putida_(strain_ATCC_47054_/_,control,250
Q9WX57__EC_5.2.1.1__Geobacillus_stearothermophilus,Q9WX57,5.2.1.1,5,Geobacillus_stearothermophilus,control,251
P60174__EC_5.3.1.1__Homo_sapiens,P60174,5.3.1.1,5,Homo_sapiens,control,249
P48500__EC_5.3.1.1__Rattus_norvegicus,P48500,5.3.1.1,5,Rattus_norvegicus,control,249
P29613__EC_5.3.1.1__Drosophila_melanogaster,P29613,5.3.1.1,5,Drosophila_melanogaster,control,247
Q9SKP6__EC_5.3.1.1__Arabidopsis_thaliana,Q9SKP6,5.3.1.1,5,Arabidopsis_thaliana,control,315
P00942__EC_5.3.1.1__Saccharomyces_cerevisiae_(strain_ATCC_20,P00942,5.3.1.1,5,Saccharomyces_cerevisiae_(strain_ATCC_20,control,248
Q96G03__EC_5.4.2.2__Homo_sapiens,Q96G03,5.4.2.2,5,Homo_sapiens,control,612
P36871__EC_5.4.2.2__Homo_sapiens,P36871,5.4.2.2,5,Homo_sapiens,control,562
P38652__EC_5.4.2.2__Rattus_norvegicus,P38652,5.4.2.2,5,Rattus_norvegicus,control,562
Q7TSV4__EC_5.4.2.2__Mus_musculus,Q7TSV4,5.4.2.2,5,Mus_musculus,control,620
Q9SCY0__EC_5.4.2.2__Arabidopsis_thaliana,Q9SCY0,5.4.2.2,5,Arabidopsis_thaliana,control,623
P54577__EC_6.1.1.1__Homo_sapiens,P54577,6.1.1.1,6,Homo_sapiens,control,528
Q9Y2Z4__EC_6.1.1.1__Homo_sapiens,Q9Y2Z4,6.1.1.1,6,Homo_sapiens,control,477
P0AGJ9__EC_6.1.1.1__Escherichia_coli_(strain_K12),P0AGJ9,6.1.1.1,6,Escherichia_coli_(strain_K12),control,424
Q91WQ3__EC_6.1.1.1__Mus_musculus,Q91WQ3,6.1.1.1,6,Mus_musculus,control,528
P36421__EC_6.1.1.1__Saccharomyces_cerevisiae_(strain_ATCC_20,P36421,6.1.1.1,6,Saccharomyces_cerevisiae_(strain_ATCC_20,control,394
Q13423__EC_7.1.1.1__Homo_sapiens,Q13423,7.1.1.1,7,Homo_sapiens,control,1086
P11024__EC_7.1.1.1__Bos_taurus,P11024,7.1.1.1,7,Bos_taurus,control,1086
Q61941__EC_7.1.1.1__Mus_musculus,Q61941,7.1.1.1,7,Mus_musculus,control,1086
P07001__EC_7.1.1.1__Escherichia_coli_(strain_K12),P07001,7.1.1.1,7,Escherichia_coli_(strain_K12),control,510
Q2RSB2__EC_7.1.1.1__Rhodospirillum_rubrum_(strain_ATCC_11170,Q2RSB2,7.1.1.1,7,Rhodospirillum_rubrum_(strain_ATCC_11170,control,384
Q12691__EC_7.2.2.3__Saccharomyces_cerevisiae_(strain_ATCC_20,Q12691,7.2.2.3,7,Saccharomyces_cerevisiae_(strain_ATCC_20,control,1091
P13587__EC_7.2.2.3__Saccharomyces_cerevisiae_(strain_ATCC_20,P13587,7.2.2.3,7,Saccharomyces_cerevisiae_(strain_ATCC_20,control,1091
Q01896__EC_7.2.2.3__Saccharomyces_cerevisiae_(strain_ATCC_20,Q01896,7.2.2.3,7,Saccharomyces_cerevisiae_(strain_ATCC_20,control,1091
O13398__EC_7.2.2.3__Schwanniomyces_occidentalis,O13398,7.2.2.3,7,Schwanniomyces_occidentalis,control,1082
P22189__EC_7.2.2.3__Schizosaccharomyces_pombe_(strain_972_/_,P22189,7.2.2.3,7,Schizosaccharomyces_pombe_(strain_972_/_,control,1037
