header,ec,distance,organism
P18204__EC_6.3.2.20__Pseudomonas_savastanoi,6.3.2.20,0.9401435256004333,Pseudomonas savastanoi
E2JA32__EC_6.3.2.46__Enterobacter_agglomerans,6.3.2.46,0.9389761686325073,Enterobacter agglomerans
P78061__EC_6.3.1.11__Escherichia_coli_(strain_K12),6.3.1.11,0.9336833953857422,Escherichia coli (strain K12)
I3R584__EC_6.3.1.11__Haloferax_mediterranei_(strain_ATCC_3350,6.3.1.11,0.9336833953857422,Haloferax mediterranei (strain ATCC 3350
Q8IXN7__EC_6.3.2.-__Homo_sapiens,6.3.2.-,0.928351640701294,Homo sapiens
P48506__EC_6.3.2.-__Homo_sapiens,6.3.2.-,0.928351640701294,Homo sapiens
P22234__EC_6.3.2.-__Homo_sapiens,6.3.2.-,0.928351640701294,Homo sapiens
P48637__EC_6.3.2.-__Homo_sapiens,6.3.2.-,0.928351640701294,Homo sapiens
Q05932__EC_6.3.2.-__Homo_sapiens,6.3.2.-,0.928351640701294,Homo sapiens
A5YM72__EC_6.3.2.-__Homo_sapiens,6.3.2.-,0.928351640701294,Homo sapiens
Q9ULI2__EC_6.3.2.-__Homo_sapiens,6.3.2.-,0.928351640701294,Homo sapiens
Q14258__EC_6.3.2.-__Homo_sapiens,6.3.2.-,0.928351640701294,Homo sapiens
P0ABQ0__EC_6.3.2.5__Escherichia_coli_(strain_K12),6.3.2.5,0.9251210391521454,Escherichia coli (strain K12)
P40506__EC_6.3.2.5__Saccharomyces_cerevisiae_(strain_ATCC_20,6.3.2.5,0.9251210391521454,Saccharomyces cerevisiae (strain ATCC 20
P9WNZ1__EC_6.3.2.5__Mycobacterium_tuberculosis_(strain_ATCC_,6.3.2.5,0.9251210391521454,Mycobacterium tuberculosis (strain ATCC 
Q58323__EC_6.3.2.5__Methanocaldococcus_jannaschii_(strain_AT,6.3.2.5,0.9251210391521454,Methanocaldococcus jannaschii (strain AT
A0QWT2__EC_6.3.2.5__Mycolicibacterium_smegmatis_(strain_ATCC,6.3.2.5,0.9251210391521454,Mycolicibacterium smegmatis (strain ATCC
O35033__EC_6.3.2.5__Bacillus_subtilis_(strain_168),6.3.2.5,0.9251210391521454,Bacillus subtilis (strain 168)
P0ABQ1__EC_6.3.2.5__Escherichia_coli_O6:H1_(strain_CFT073_/_,6.3.2.5,0.9251210391521454,Escherichia coli O6:H1 (strain CFT073 / 
P67734__EC_6.3.2.5__Mycobacterium_bovis_(strain_ATCC_BAA-935,6.3.2.5,0.9251210391521454,Mycobacterium bovis (strain ATCC BAA-935
P10378__EC_6.3.2.14__Escherichia_coli_(strain_K12),6.3.2.14,0.9210923910140991,Escherichia coli (strain K12)
P0ADI4__EC_6.3.2.14__Escherichia_coli_(strain_K12),6.3.2.14,0.9210923910140991,Escherichia coli (strain K12)
P11454__EC_6.3.2.14__Escherichia_coli_(strain_K12),6.3.2.14,0.9210923910140991,Escherichia coli (strain K12)
Q8XBV9__EC_6.3.2.14__Escherichia_coli_O157:H7,6.3.2.14,0.9210923910140991,Escherichia coli O157:H7
P0ADI5__EC_6.3.2.14__Escherichia_coli_O157:H7,6.3.2.14,0.9210923910140991,Escherichia coli O157:H7
P0ADI6__EC_6.3.2.14__Shigella_flexneri,6.3.2.14,0.9210923910140991,Shigella flexneri
P29698__EC_6.3.2.14__Shigella_flexneri,6.3.2.14,0.9210923910140991,Shigella flexneri
Q8XBV3__EC_6.3.2.14__Escherichia_coli_O157:H7,6.3.2.14,0.9210923910140991,Escherichia coli O157:H7
Q9WY79__EC_6.3.2.37__Thermotoga_maritima_(strain_ATCC_43589_/,6.3.2.37,0.9233813285827637,Thermotoga maritima (strain ATCC 43589 /
Q76BS7__EC_6.3.2.38__Vibrio_mimicus,6.3.2.38,0.9185758829116821,Vibrio mimicus
Q47316__EC_6.3.2.38__Escherichia_coli,6.3.2.38,0.9185758829116821,Escherichia coli
A9ZPH9__EC_6.3.1.6__Methylovorus_mays,6.3.1.6,0.9165732860565186,Methylovorus mays
P19440__EC_2.3.2.2__Homo_sapiens,2.3.2.2,0.9128313064575195,Homo sapiens
A6NGU5__EC_2.3.2.2__Homo_sapiens,2.3.2.2,0.9128313064575195,Homo sapiens
P36269__EC_2.3.2.2__Homo_sapiens,2.3.2.2,0.9128313064575195,Homo sapiens
Q6P531__EC_2.3.2.2__Homo_sapiens,2.3.2.2,0.9128313064575195,Homo sapiens
Q9UJ14__EC_2.3.2.2__Homo_sapiens,2.3.2.2,0.9128313064575195,Homo sapiens
P07314__EC_2.3.2.2__Rattus_norvegicus,2.3.2.2,0.9128313064575195,Rattus norvegicus
Q9M0G0__EC_2.3.2.2__Arabidopsis_thaliana,2.3.2.2,0.9128313064575195,Arabidopsis thaliana
Q9QWE9__EC_2.3.2.2__Rattus_norvegicus,2.3.2.2,0.9128313064575195,Rattus norvegicus
