cpd_id	compound_name	result_type	reason	pubchem_cid	strategy	query	stored_smiles	pubchem_smiles	stored_inchikey	pubchem_inchikey
cpd07004	Oxyanin A	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C18H15O8, pubchem=C13H16O5) — requires manual review	2758465	kegg_xref	C10115	COc1cc([O-])c2c(=O)c(OC)c(-c3cc(O)c(OC)cc3O)oc2c1	CCOC(=O)CC(=O)C1=CC(=C(C=C1)OC)OC	KGJTXYKKHKRNIM-UHFFFAOYSA-M	BHSYONGONOKNAI-UHFFFAOYSA-N
cpd07009	6-C-Methylquercetin	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C16H10O7, pubchem=C13H8BF7S) — requires manual review	2777504	kegg_xref	C10120	Cc1c([O-])cc2oc(-c3ccc(O)c(O)c3)c(O)c(=O)c2c1[O-]	[B-](F)(F)(F)F.C1=CC=C2C(=C1)C3=CC=CC=C3[S+]2C(F)(F)F	DTFXGVGIKNSCQQ-UHFFFAOYSA-L	VTVISWLINKWMQZ-UHFFFAOYSA-N
cpd07034	Funebrine	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C18H24N2O5, pubchem=C6H4Cl2FN) — requires manual review	223091	kegg_xref	C10145	C[C@H]1[C@H](/N=C/c2ccc(CO)n2C2C(=O)O[C@H](C)[C@H]2C)C(=O)O[C@@H]1C	C1=C(C(=CC(=C1Cl)Cl)F)N	RYQKWJPWKLPCHJ-NWZRZUMISA-N	FHJVHVKVTUTGTA-UHFFFAOYSA-N
cpd07039	Harzianopyridone	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C14H17NO5, pubchem=C5H4ClN3O3) — requires manual review	252204	kegg_xref	C10150	C/C=C/C[C@@H](C)C(=O)c1c([O-])[n-]c(OC)c(OC)c1=O	COC1=C(C(=NC=N1)Cl)[N+](=O)[O-]	BEVBGNQMQGCTRF-HQZHTGGTSA-L	YZTJXHWQWCLEJX-UHFFFAOYSA-N
cpd07042	Isolobinine	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C18H26NO2, pubchem=C13H8N2O2) — requires manual review	95069	kegg_xref	C10153	CCC(O)C[C@H]1C=CC[C@@H](CC(=O)c2ccccc2)[NH+]1C	C1=CC=C2C(=C1)N=C3C=CC=C(C3=N2)C(=O)O	SEUNPTJHBYYPOX-GARXDOFDSA-O	JGCSKOVQDXEQHI-UHFFFAOYSA-N
cpd07047	Mearsine	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C9H13NO, pubchem=C9H13N) — requires manual review	136745	kegg_xref	C10158	CC1=C2C(=O)CC(CC2C)N1	CCC1=NC(=CC=C1)CC	HGGXRBIZHMVTFM-UHFFFAOYSA-N	WHTDCOSHHMXZNE-UHFFFAOYSA-N
cpd07056	(+)-Prosopinine	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C18H36NO3, pubchem=C20H28ClNO4) — requires manual review	39324	kegg_xref	C10167	CCC(=O)CCCCCCCCC[C@@H]1CC[C@H](O)[C@@H](CO)[NH2+]1	CC1=CC(=CC=C1)OCC(CNCCC2=CC(=C(C=C2)OC)OC)O.Cl	KYBOBXNXZQTAKA-NXHRZFHOSA-O	FJTKCFSPYUMXJB-UHFFFAOYSA-N
cpd07058	Ruspolinone	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C14H20NO3, pubchem=C13H9N3O) — requires manual review	120282	kegg_xref	C10169	COc1ccc(C(=O)CC2CCC[NH2+]2)cc1OC	C1=CC=C2C(=C1)N=C3C=CC=C(C3=N2)C(=O)N	TYXKSMFICLVQCO-UHFFFAOYSA-O	KPZYYKDXZKFBQU-UHFFFAOYSA-N
cpd07059	(-)-Santiaguine	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C38H50N4O2, pubchem=C7H4ClNO4) — requires manual review	7448	kegg_xref	C10170	O=C([C@H]1[C@H](c2ccccc2)[C@H](C(=O)N2C=C([C@H]3CCCC[NH2+]3)CCC2)[C@H]1c1ccccc1)N1C=C([C@H]2CCCC[NH2+]2)CCC1	C1=CC(=C(C=C1[N+](=O)[O-])Cl)C(=O)O	OHNNTQXKHRISJP-HLPCWDLKSA-P	QAYNSPOKTRVZRC-UHFFFAOYSA-N
cpd07068	3',6''-Biapigenin	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C30H15O10, pubchem=C8H12ClNO) — requires manual review	202939	kegg_xref	C10179	O=c1cc(-c2ccc(O)c(-c3c([O-])cc4oc(-c5ccc(O)cc5)cc(=O)c4c3[O-])c2)oc2cc([O-])cc(O)c12	C1=CC=C(C=C1)CCON.Cl	BORWSEZUWHQTOK-UHFFFAOYSA-K	MUPSJLRUCGYRTR-UHFFFAOYSA-N
cpd07069	Santin	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C18H15O7, pubchem=C20H24O4) — requires manual review	5281232	kegg_xref	C10180	COc1ccc(-c2oc3cc([O-])c(OC)c(O)c3c(=O)c2OC)cc1	C/C(=C\C=C\C=C(\C=C\C=C(\C(=O)O)/C)/C)/C=C/C=C(/C(=O)O)\C	DWZAJFZEYZIHPO-UHFFFAOYSA-M	PANKHBYNKQNAHN-MQQNZMFNSA-N
cpd07071	Sciadopitysin	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C33H22O10, pubchem=C11H11N) — requires manual review	431187	kegg_xref	C10182	COc1ccc(-c2cc(=O)c3c(O)cc([O-])c(-c4cc(-c5cc(=O)c6c([O-])cc(OC)cc6o5)ccc4OC)c3o2)cc1	CC1=CC=C(C2=CC=CC=C12)N	YCXRBCHEOFVYEN-UHFFFAOYSA-L	MQFYUZCANYLWEI-UHFFFAOYSA-N
cpd07074	3,5,7-Trihydroxy-2-(4-hydroxyphenyl)-8-methoxy-4H-1-benzopyran-4-one	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C16H10O7, pubchem=C6H4BrNS) — requires manual review	818876	kegg_xref	C10185	COc1c([O-])cc(O)c2c(=O)c([O-])c(-c3ccc(O)cc3)oc12	C1=C(SC(=C1)Br)CC#N	AZFYHRHUTXBGJS-UHFFFAOYSA-L	ZFTILCZVZSZDLI-UHFFFAOYSA-N
cpd07088	7-hydroxy-6-methoxy-3-(4-methoxyphenyl)-chromen-4-one	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C17H13O5, pubchem=C5H4FNO) — requires manual review	2762887	kegg_xref	C10199	COc1ccc(-c2coc3cc([O-])c(OC)cc3c2=O)cc1	C1=CC(=O)NC(=C1)F	KJGPBYUQZLUKLL-UHFFFAOYSA-M	AJRUXHIEYSYRQJ-UHFFFAOYSA-N
cpd07091	Bowdichione	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C16H9O6, pubchem=C6H2Br2ClF) — requires manual review	2724604	kegg_xref	C10202	COC1=CC(=O)C(c2coc3cc([O-])ccc3c2=O)=CC1=O	C1=C(C=C(C(=C1Br)Cl)Br)F	GCAIEHBYLQNGAF-UHFFFAOYSA-M	PZKDJJMHRYNBOR-UHFFFAOYSA-N
cpd07099	Agrimoniin	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C82H53O52, pubchem=C8H5BrFN) — requires manual review	2773928	kegg_xref	C10210	O=C(O[C@H]1O[C@@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]2[C@@H]2OC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@@H]12)c1cc(O)c(O)c(Oc2c(C(=O)O[C@H]3O[C@@H]4COC(=O)c5cc(O)c(O)c(O)c5-c5c(cc(O)c(O)c5O)C(=O)O[C@H]4[C@@H]4OC(=O)c5cc(O)c(O)c(O)c5-c5c(cc(O)c([O-])c5O)C(=O)O[C@@H]34)cc(O)c(O)c2O)c1	C1=CC(=C(C=C1F)CC#N)Br	BZAFROBDXRJYTQ-JVEQELPQSA-M	KTNJFIQOVKEQFB-UHFFFAOYSA-N
cpd07100	Alnusiin	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C41H23O26, pubchem=C7H6FNO3) — requires manual review	565656	kegg_xref	C10211	O=C1OC[C@H]2OC(O)[C@@H]3OC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)O[C@H]3[C@@H]2OC(=O)c2cc([O-])c(O)c3oc(=O)c4cc([O-])c(c([O-])c4c23)Oc2c1cc(O)c(O)c2O	COC1=C(C=C(C=C1)F)[N+](=O)[O-]	OAZHOQDMOPZBMN-RBKPYHMISA-K	FWLPYISRFBKEKV-UHFFFAOYSA-N
cpd07103	Chebulagic acid	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C41H28O27, pubchem=C13H14ClN) — requires manual review	201598	kegg_xref	C10214	O=C([O-])C[C@@H]1C(=O)O[C@H]2[C@@H]3OC(=O)c4cc(O)c(O)c([O-])c4-c4c(cc(O)c(O)c4O)C(=O)OC[C@H]2O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]3OC(=O)c2cc(O)c(O)c3c2[C@H]1[C@H](O)C(=O)O3	C1=CC=C(C=C1)CC2=CC=C(C=C2)N.Cl	HGJXAVROWQLCTP-YABCKIEDSA-L	GQGXIDBMRPMPCD-UHFFFAOYSA-N
cpd07107	Coriariin A	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C82H56O52, pubchem=C7H14O3) — requires manual review	4219754	kegg_xref	C10218	O=C(O[C@@H]1O[C@@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]2[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(Oc2c(C(=O)O[C@@H]3O[C@@H]4COC(=O)c5cc(O)c(O)c([O-])c5-c5c(cc(O)c(O)c5O)C(=O)O[C@H]4[C@H](OC(=O)c4cc(O)c(O)c(O)c4)[C@H]3OC(=O)c3cc(O)c([O-])c(O)c3)cc(O)c(O)c2O)c1	CC1(OCC(O1)CCO)C	BGZMXYWCTRIUII-YLVKXZTISA-L	YYEZYENJAMOWHW-UHFFFAOYSA-N
cpd07109	3,5-Di-O-galloyl-4-O-digalloylquinic acid	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C35H27O22, pubchem=C9H11NO3) — requires manual review	72878	kegg_xref	C10220	O=C(Oc1cc(C(=O)O[C@H]2[C@H](OC(=O)c3cc(O)c(O)c(O)c3)C[C@](O)(C(=O)[O-])C[C@H]2OC(=O)c2cc(O)c(O)c(O)c2)cc(O)c1O)c1cc(O)c(O)c(O)c1	COC1=CC(=CC(=C1)C(=O)N)OC	IECIGJUPCKCYMX-ZVLUUUFJSA-M	YTLRWVNYANKXOW-UHFFFAOYSA-N
cpd07118	Gemin A	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C82H54O52, pubchem=C10H17NO6) — requires manual review	11021202	kegg_xref	C10229	O=C(O[C@H]1O[C@@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]2[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(Oc2c(C(=O)O[C@H]3O[C@@H]4COC(=O)c5cc(O)c(O)c(O)c5-c5c(cc(O)c(O)c5O)C(=O)O[C@H]4[C@@H]4OC(=O)c5cc(O)c([O-])c(O)c5-c5c(cc(O)c([O-])c5O)C(=O)O[C@@H]34)cc(O)c(O)c2O)c1	CC(C)(C)OC(=O)N[C@@H](CC(=O)O)C(=O)OC	ODXMIHPUPFEYDB-HISCDKSNSA-L	IWFIVTBTZUCTQH-LURJTMIESA-N
cpd07124	Mallotusinic acid	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C48H30O32, pubchem=C10H20N2O4) — requires manual review	7019681	kegg_xref	C10235	O=C1OC2C3COC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(Oc5c(C(=O)[O-])cc(O)c(O)c5O)c(O)c4[O-])C(=O)OC2C(OC(=O)c2cc(O)c(O)c4c2C2C1=CC(=O)C(O)(O4)C2(O)O)C(OC(=O)c1cc(O)c(O)c(O)c1)O3	CC(C)(C)OC(=O)N[C@H](CCCN)C(=O)O	MWPRJJBXNINUTQ-UHFFFAOYSA-L	AMPVNPYPOOQUJF-SSDOTTSWSA-N
cpd07129	Rugosin D	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C82H56O52, pubchem=C11H7Cl2NO2) — requires manual review	96590	kegg_xref	C10240	O=C(O[C@@H]1O[C@@H]2COC(=O)c3cc(Oc4c(C(=O)O[C@@H]5O[C@@H]6COC(=O)c7cc(O)c(O)c(O)c7-c7c(cc(O)c(O)c7[O-])C(=O)O[C@H]6[C@H](OC(=O)c6cc(O)c(O)c(O)c6)[C@H]5OC(=O)c5cc(O)c(O)c(O)c5)cc(O)c(O)c4O)c(O)c([O-])c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]2[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1	CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)Cl	LELFYNPFJFAEND-YLVKXZTISA-L	BPDBLWKFVXHGFT-UHFFFAOYSA-N
cpd07168	Angularine	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C18H26NO6, pubchem=C10H18N2O5) — requires manual review	192414	kegg_xref	C10279	C=C1C/C(=C/C)C(=O)O[C@@H]2CC[NH+]3C[C@@H](O)[C@H](COC(=O)[C@]1(C)O)[C@H]23	C[C@@H](C(=O)NCC(=O)O)NC(=O)OC(C)(C)C	MCWACAVORNFEFS-HMNNQIDUSA-O	PBGVVLQMNSPMKN-LURJTMIESA-N
cpd07189	Aristolindiquinone	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C12H9O4, pubchem=C8H17Cl) — requires manual review	31240	kegg_xref	C10300	CC1=C([O-])C(=O)c2c(C)ccc(O)c2C1=O	CCCCC(CC)CCl	BEBGSFZOQXPJCT-UHFFFAOYSA-M	WLVCBAMXYMWGLJ-UHFFFAOYSA-N
cpd07200	7-Chloroemodin	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C15H8ClO5, pubchem=C13H17ClN2O2) — requires manual review	134519	kegg_xref	C10311	Cc1cc(O)c2c(c1)C(=O)c1cc([O-])c(Cl)c(O)c1C2=O	CCOC(=O)[C@H](CC1=CNC2=CC=CC=C21)N.Cl	AVSZOSVPTLSHOV-UHFFFAOYSA-M	PESYCVVSLYSXAK-MERQFXBCSA-N
cpd07206	Coleone A	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C20H21O6, pubchem=C12H24N2O3) — requires manual review	76807	kegg_xref	C10317	C=CC[C@]1(C)c2c(C)c3c(c(O)c2OC1O)C(=O)C(C(C)C)=C([O-])C3=O	CC(C)C[C@@H](C(=O)N[C@@H](CC(C)C)C(=O)O)N	WKRCSOAPKREAOF-GFOWMXPYSA-M	LCPYQJIKPJDLLB-UWVGGRQHSA-N
cpd07207	Conocurvone	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C60H54O11, pubchem=C17H24N2O5) — requires manual review	6992475	kegg_xref	C10318	CC(C)=CCC[C@]1(C)C=Cc2c(ccc3c2C(=O)C([O-])=C(C2=C(C4=C([O-])C(=O)c5c(ccc6c5C=C[C@@](C)(CCC=C(C)C)O6)C4=O)C(=O)c4c(ccc5c4C=C[C@@](C)(CCC=C(C)C)O5)C2=O)C3=O)O1	C[C@@H](C(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)OCC1=CC=CC=C1	IJDNMADFCZSLQD-UPMPAGDASA-L	CWMXJBNCYBDNTJ-JSGCOSHPSA-N
cpd07224	Droserone	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C11H7O4, pubchem=C10H6BrNO2) — requires manual review	219988	kegg_xref	C10335	CC1=C([O-])C(=O)c2c(O)cccc2C1=O	C1=CC2=C(C=CC=C2Br)C(=C1)[N+](=O)[O-]	CQDXJBJBEQPBEM-UHFFFAOYSA-M	OTYRDQXZRJZHOX-UHFFFAOYSA-N
cpd07237	Macrophylline	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C13H22NO3, pubchem=C14H20O5) — requires manual review	84197	kegg_xref	C10348	C/C=C(/C)C(=O)OC[C@@H]1[C@H]2CCC[NH+]2C[C@@H]1O	C1COCCOC2=CC=CC=C2OCCOCCO1	LVZCTOQMFLAKLI-CSZIUDOQSA-O	FNEPSTUXZLEUCK-UHFFFAOYSA-N
cpd07245	(1R,4beta,7abeta)-2,3,5,7a-Tetrahydro-1,7a-dihydroxy-7-(hydroxymethyl)-4-methyl-1H-pyrrolizin-4-ium	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C9H16NO3, pubchem=C6H13NO2) — requires manual review	444080	kegg_xref	C10356	C[NH+]1C/C=C(/CO)C(=O)[C@H](O)CC1	CC(C)[C@@H](C(=O)O)NC	GRAGROPQORVALZ-VKWJFSHESA-O	AKCRVYNORCOYQT-YFKPBYRVSA-N
cpd07255	Lapachol	MISMATCH	MISMATCH: IGNORE:protonation_formula_diff (formula: stored=C15H13O3, pubchem=C15H14O3, H_diff=+1) — requires manual review	3884	kegg_xref	C10366	CC(C)=CCC1=C([O-])C(=O)c2ccccc2C1=O	CC(=CCC1=C(C2=CC=CC=C2C(=O)C1=O)O)C	CIEYTVIYYGTCCI-UHFFFAOYSA-M	CWPGNVFCJOPXFB-UHFFFAOYSA-N
cpd07257	2-hydroxy-1,4-naphthoquinone	MISMATCH	MISMATCH: IGNORE:protonation_formula_diff (formula: stored=C10H5O3, pubchem=C10H6O3, H_diff=+1) — requires manual review	6755	kegg_xref	C10368	O=C1C=C([O-])C(=O)c2ccccc21	C1=CC=C2C(=C1)C(=CC(=O)C2=O)O	CSFWPUWCSPOLJW-UHFFFAOYSA-M	WVCHIGAIXREVNS-UHFFFAOYSA-N
cpd07281	Pseudohypericin	MISMATCH	MISMATCH: IGNORE:protonation_formula_diff (formula: stored=C30H14O9, pubchem=C30H16O9, H_diff=+2) — requires manual review	4978	kegg_xref	C10392	Cc1cc(O)c2c(O)c3c(=O)cc([O-])c4c5c([O-])cc(=O)c6c(O)c7c(O)cc(CO)c8c1c2c(c34)c(c78)c65	CC1=CC(=O)C2=C(C3=C(C=C(C4=C3C5=C2C1=C6C(=CC(=O)C7=C(C8=C(C=C(C4=C8C5=C67)O)O)O)CO)O)O)O	LSCFBJYXRVRRHZ-UHFFFAOYSA-L	NODGUBIGZKATOM-UHFFFAOYSA-N
cpd07309	Genistein 8-C-glucoside	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C21H18O10, pubchem=C8H6BrNO3) — requires manual review	75213	kegg_xref	C10420	O=c1c(-c2ccc(O)cc2)coc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c([O-])cc([O-])c12	C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)CBr	HIWJJOYYZFELEZ-FFYOZGDPSA-L	GZHPNIQBPGUSSX-UHFFFAOYSA-N
cpd07320	1-Caffeoyl-4-deoxyquinic acid	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C16H17O8, pubchem=C16H18O2) — requires manual review	75490	kegg_xref	C10432	O=C(/C=C/c1ccc(O)c(O)c1)OC1(C(=O)[O-])C[C@@H](O)C[C@H](O)C1	CC1=CC(=CC(=C1O)C)C2=CC(=C(C(=C2)C)O)C	IQRPXVABWMLCMZ-LOMYTOQZSA-M	YGYPMFPGZQPETF-UHFFFAOYSA-N
cpd07328	4-p-Coumaroylquinic acid	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C16H17O8, pubchem=C9H5F6NS) — requires manual review	2806924	kegg_xref	C10441	O=C(/C=C/c1ccc(O)cc1)O[C@H]1[C@H](O)C[C@](O)(C(=O)[O-])C[C@H]1O	C1=C(C=C(C=C1C(F)(F)F)C(F)(F)F)C(=S)N	XWRHBGVVCOSNKO-OTCYKTEZSA-M	OWYYZIVORPIBPZ-UHFFFAOYSA-N
cpd07377	Lonchocarpenin	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C27H27O6, pubchem=C12H19NO4S) — requires manual review	11282264	kegg_xref	C10491	COc1ccc(-c2c([O-])c3c(OC)c4c(c(CC=C(C)C)c3oc2=O)OC(C)(C)C=C4)cc1	CCOC1=C(C=CC(=C1)[C@@H](CS(=O)(=O)C)N)OC	CCYKXDPVYWRNMH-UHFFFAOYSA-M	BXUJVINGXQGNFD-SNVBAGLBSA-N
cpd07386	1,3,4,5-Tetracaffeoylquinic acid	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C43H35O18, pubchem=CdCl2) — requires manual review	24947	kegg_xref	C10500	O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](OC(=O)/C=C/c2ccc(O)c(O)c2)(C(=O)[O-])C[C@@H](OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H]1OC(=O)/C=C/c1ccc(O)c(O)c1	Cl[Cd]Cl	VTHDRBWIVRFQKI-ATQMDXCCSA-M	YKYOUMDCQGMQQO-UHFFFAOYSA-L
cpd07420	Tectorigenin	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C16H11O6, pubchem=C14H12N2O2S) — requires manual review	1236372	kegg_xref	C10534	COc1c([O-])cc2occ(-c3ccc(O)cc3)c(=O)c2c1O	CC1=CC2=C(N1S(=O)(=O)C3=CC=CC=C3)N=CC=C2	OBBCRPUNCUPUOS-UHFFFAOYSA-M	AHBQPALYDSJJKZ-UHFFFAOYSA-N
